web-1  | 192.168.65.1 - - [30/Mar/2026:20:22:30 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50302 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:22:35 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 29324 "http://localhost:8000/?page=dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3.1 Safari/605.1.15"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:22:37 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 43571 "http://localhost:8000/?page=dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3.1 Safari/605.1.15"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:22:40 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 356828 "http://localhost:8000/?page=dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3.1 Safari/605.1.15"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:23:27 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 43493 "http://localhost:8000/?page=dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3.1 Safari/605.1.15"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:23:32 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50413 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:23:37 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 72131 "http://localhost:8000/?page=dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3.1 Safari/605.1.15"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:23:42 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50383 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:23:52 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50494 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:23:57 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 29286 "http://localhost:8000/?page=dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3.1 Safari/605.1.15"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:24:02 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50480 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:24:12 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50267 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:24:22 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50366 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:24:00 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 249182 "http://localhost:8000/?page=dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3.1 Safari/605.1.15"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:24:32 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50372 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:24:42 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50348 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:24:52 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50416 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:25:02 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50347 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:25:13 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50380 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:25:23 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50395 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:25:33 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50438 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:25:43 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57514 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:25:53 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50409 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:26:03 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50447 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:26:13 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50590 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:26:23 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50535 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:26:33 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50599 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:26:43 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50668 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:26:53 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50493 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:27:03 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 43396 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:27:13 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50411 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:27:23 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50509 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:27:33 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50491 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:27:43 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50432 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:27:54 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50579 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:28:04 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50527 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:28:14 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50653 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:28:24 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57633 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:28:34 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50440 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:28:44 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50361 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:28:54 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50387 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:29:04 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50332 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:29:14 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50450 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:29:24 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50489 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:29:34 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50380 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:29:44 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50431 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:29:54 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50445 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:30:04 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50498 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:30:14 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50370 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:30:24 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50426 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:30:35 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50434 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:30:45 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50515 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:30:55 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57551 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:31:05 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50602 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:31:15 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50514 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:31:25 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50622 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:31:35 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50437 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:31:45 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50425 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:31:55 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50607 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:32:05 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50588 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:32:15 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50382 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:32:25 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50309 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:32:35 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50389 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:32:45 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50305 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:20:32:55 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50526 "-" "curl/8.7.1"
