web-1  | 192.168.65.1 - - [30/Mar/2026:20:55:40 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50422 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:12:49 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50299 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:13:04 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50538 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:13:19 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50450 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:13:34 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50356 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:13:49 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50443 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:14:04 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50523 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:14:19 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50477 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:14:34 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50600 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:14:49 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50331 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:15:04 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50376 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:15:19 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50445 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:15:35 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50274 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:15:50 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50496 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:16:05 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50530 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:16:20 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50527 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:16:35 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50531 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:16:50 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50531 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:17:05 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50523 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:17:20 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50433 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:17:35 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50463 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:17:50 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50553 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:18:05 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50472 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:18:20 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57671 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:18:35 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50440 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:18:50 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50473 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:19:06 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50509 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:19:21 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50552 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:19:36 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50478 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:19:51 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50416 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:20:06 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50638 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:20:21 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50519 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:20:36 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50563 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:20:51 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50329 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:21:06 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50204 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:21:21 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50337 "-" "curl/8.7.1"
