sample	ts_utc	http_status	curl_rc	body_bytes	has_data	has_unauth_error	has_internal_error
1	2026-03-30T20:23:32Z	200	28	28171	1	0	0
2	2026-03-30T20:23:42Z	200	28	28177	1	0	0
3	2026-03-30T20:23:52Z	200	28	28240	1	0	0
4	2026-03-30T20:24:02Z	200	28	28263	1	0	0
5	2026-03-30T20:24:12Z	200	28	28081	1	0	0
6	2026-03-30T20:24:22Z	200	28	28162	1	0	0
7	2026-03-30T20:24:32Z	200	28	28145	1	0	0
8	2026-03-30T20:24:42Z	200	28	28165	1	0	0
9	2026-03-30T20:24:52Z	200	28	28243	1	0	0
10	2026-03-30T20:25:02Z	200	28	28146	1	0	0
11	2026-03-30T20:25:13Z	200	28	28218	1	0	0
12	2026-03-30T20:25:23Z	200	28	28201	1	0	0
13	2026-03-30T20:25:33Z	200	28	28172	1	0	0
14	2026-03-30T20:25:43Z	200	28	35327	1	0	0
15	2026-03-30T20:25:53Z	200	28	28202	1	0	0
16	2026-03-30T20:26:03Z	200	28	28180	1	0	0
17	2026-03-30T20:26:13Z	200	28	28304	1	0	0
18	2026-03-30T20:26:23Z	200	28	28271	1	0	0
19	2026-03-30T20:26:33Z	200	28	28296	1	0	0
20	2026-03-30T20:26:43Z	200	28	28345	1	0	0
21	2026-03-30T20:26:53Z	200	28	28285	1	0	0
22	2026-03-30T20:27:03Z	200	28	28267	1	0	0
23	2026-03-30T20:27:13Z	200	28	28177	1	0	0
24	2026-03-30T20:27:23Z	200	28	28252	1	0	0
25	2026-03-30T20:27:33Z	200	28	28248	1	0	0
26	2026-03-30T20:27:43Z	200	28	28213	1	0	0
27	2026-03-30T20:27:54Z	200	28	28299	1	0	0
28	2026-03-30T20:28:04Z	200	28	28312	1	0	0
29	2026-03-30T20:28:14Z	200	28	28333	1	0	0
30	2026-03-30T20:28:24Z	200	28	35380	1	0	0
31	2026-03-30T20:28:34Z	200	28	28227	1	0	0
32	2026-03-30T20:28:44Z	200	28	28166	1	0	0
33	2026-03-30T20:28:54Z	200	28	28201	1	0	0
34	2026-03-30T20:29:04Z	200	28	28174	1	0	0
35	2026-03-30T20:29:14Z	200	28	28217	1	0	0
36	2026-03-30T20:29:24Z	200	28	28247	1	0	0
37	2026-03-30T20:29:34Z	200	28	28204	1	0	0
38	2026-03-30T20:29:44Z	200	28	28189	1	0	0
39	2026-03-30T20:29:54Z	200	28	28222	1	0	0
40	2026-03-30T20:30:04Z	200	28	28247	1	0	0
41	2026-03-30T20:30:14Z	200	28	28173	1	0	0
42	2026-03-30T20:30:24Z	200	28	28191	1	0	0
43	2026-03-30T20:30:35Z	200	28	28196	1	0	0
44	2026-03-30T20:30:45Z	200	28	28279	1	0	0
45	2026-03-30T20:30:55Z	200	28	28232	1	0	0
46	2026-03-30T20:31:05Z	200	28	28313	1	0	0
47	2026-03-30T20:31:15Z	200	28	28205	1	0	0
48	2026-03-30T20:31:25Z	200	28	28312	1	0	0
49	2026-03-30T20:31:35Z	200	28	28205	1	0	0
50	2026-03-30T20:31:45Z	200	28	28220	1	0	0
51	2026-03-30T20:31:55Z	200	28	28311	1	0	0
52	2026-03-30T20:32:05Z	200	28	28313	1	0	0
53	2026-03-30T20:32:15Z	200	28	28226	1	0	0
54	2026-03-30T20:32:25Z	200	28	28139	1	0	0
55	2026-03-30T20:32:35Z	200	28	28143	1	0	0
56	2026-03-30T20:32:45Z	200	28	28131	1	0	0
57	2026-03-30T20:32:55Z	200	28	28238	1	0	0
58	2026-03-30T20:33:05Z	200	28	28161	1	0	0
59	2026-03-30T20:33:16Z	200	28	28262	1	0	0
60	2026-03-30T20:33:26Z	200	28	28237	1	0	0
